tab6,ProxyID,1,2,3,4,5,6,7,8,9,10,11,12
,7672420,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HSC3012/AP BIOLOGY,HSS0487/AP AMER GOVERNMENT,HSS1419/AP COMPARATIVE GOV,,,,,,,
,7688947,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7706915,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7715983,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7729909,HSS2288/AP HUMAN GEOGRAPHY,,,,,,,,,,,
,7731647,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HMA1929/AP CALCULUS AB A,HMA1932/AP CALCULUS AB B,HSC2400/AP PHYSICS C1,HSC2401/AP PHYSICS C2,HSS0487/AP AMER GOVERNMENT,HWL3553/AP JAPANESE 5A,HWL3554/AP JAPANESE 5B,,,
,7736051,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HSC1184/AP CHEMISTRY 2,HSC3011/AP CHEMISTRY,HSS0487/AP AMER GOVERNMENT,HSS1419/AP COMPARATIVE GOV,,,,,,
,7761281,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,,,,,,,,,,
,7799275,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HMA1938/AP CALCULUS BC A,HMA1939/AP CALCULUS BC B,HSC2400/AP PHYSICS C1,HSC2401/AP PHYSICS C2,HSS0487/AP AMER GOVERNMENT,HSS1419/AP COMPARATIVE GOV,,,,
,7809946,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,,,,,,,,,,
,7830351,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7835259,HLA2492/AP ENG LANG COMP 1,HSS1211/AP US HISTORY 11A,,,,,,,,,,
,7872007,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HSC1184/AP CHEMISTRY 2,HSC3011/AP CHEMISTRY,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,HWL3553/AP JAPANESE 5A,HWL3554/AP JAPANESE 5B,,,,
,7889941,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7911950,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7916028,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HSS0487/AP AMER GOVERNMENT,HSS1419/AP COMPARATIVE GOV,,,,,,,,
,7934096,HCT0575/AP COMPUTER SCI A 1,HCT0576/AP COMPUTER SCI A 2,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HSC2400/AP PHYSICS C1,HSC2401/AP PHYSICS C2,HSS0487/AP AMER GOVERNMENT,HSS1419/AP COMPARATIVE GOV,,,,
,7942034,HMA1929/AP CALCULUS AB A,HSC2400/AP PHYSICS C1,HSS0487/AP AMER GOVERNMENT,,,,,,,,,
,7942200,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,,,,,,,,
,7958695,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7978961,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7980028,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,,,,,,,,,,
