StudentID,SubjectArea,TestName,TestAttemptCode,Score,LevelCode,MetStandard
6439472,ELA,Smarter Balanced Assessment,TS,2368,L1,N
6179739,ELA,Smarter Balanced Assessment,TS,2492,L2,N
7809946,ELA,Smarter Balanced Assessment,NB,,L0,N
6884542,ELA,Smarter Balanced Assessment,TS,2393,L1,N
6253466,ELA,Smarter Balanced Assessment,TS,2589,L3,Y
6095715,ELA,Smarter Balanced Assessment,TS,2240,L1,N
6392587,ELA,Smarter Balanced Assessment,TS,2350,L1,N
7248949,ELA,Smarter Balanced Assessment,NB,,L0,N
6552486,ELA,Smarter Balanced Assessment,TS,2547,L4,Y
7321389,ELA,Smarter Balanced Assessment,TS,2693,L4,Y
7231986,ELA,Smarter Balanced Assessment,TS,2761,L4,Y
7928302,ELA,Smarter Balanced Assessment,RF,,L0,N
3587749,ELA,Smarter Balanced Assessment,NB,,L0,N
6358700,ELA,Smarter Balanced Assessment,TS,2437,L1,N
6355717,ELA,Smarter Balanced Assessment,TS,2731,L4,Y
6797776,ELA,Smarter Balanced Assessment,TS,2428,L1,N
3580749,ELA,Smarter Balanced Assessment,TS,2527,L3,Y
7944971,ELA,Smarter Balanced Assessment,NB,,L0,N
6177535,ELA,Smarter Balanced Assessment,TS,2415,L2,N
6668470,ELA,Smarter Balanced Assessment,TS,2380,L2,N
7216389,ELA,Smarter Balanced Assessment,PE,,--,-
7916975,ELA,Smarter Balanced Assessment,NB,,L0,N
7839397,ELA,Smarter Balanced Assessment,TS,2462,L1,N
6313764,ELA,Smarter Balanced Assessment,TS,2517,L2,N
6102764,ELA,Smarter Balanced Assessment,TS,2426,L1,N
7147829,ELA,Smarter Balanced Assessment,TS,2679,L4,Y
7440885,ELA,Smarter Balanced Assessment,TS,2452,L1,N
6041774,ELA,Smarter Balanced Assessment,TS,2563,L3,Y
7365382,ELA,Smarter Balanced Assessment,TS,2273,L1,N
7365382,ELA,Smarter Balanced Assessment,NB,,L0,N
3156745,ELA,Smarter Balanced Assessment,TS,2481,L3,Y
