School,Grade,Ethnicity,HomeLang,ReadingPercentTotal,MathPercentTotal
117,6,African-American,Somali,60,33.5
117,8,Asian,Cantonese,19.5,43
212,4,African-American,Somali,45,30.5
226,1,White,NA,3.5,1
226,3,Asian,Toishanese,92.5,90.5
226,1,Asian,Vietnamese,45,68.5
244,2,African-American,Somali,82.5,84
935,2,Asian,Mandarin,61.5,91
117,8,African-American,Somali,NA,NA
244,2,African-American,NA,17,32.5
226,3,African-American,Somali,53,63
244,1,White,NA,87.5,91.5
117,6,Asian,Cantonese,49,89.5
226,3,Hispanic,Spanish,26,33
248,1,African-American,NA,96.5,97
226,2,African-American,Somali,97,96.5
226,2,African-American,NA,5,11
244,3,African-American,English,59.5,46.5
269,4,Asian,Cantonese,NA,NA
245,2,Asian,Vietnamese,88.5,80
226,2,African-American,Tigrinya (Tigrigna),49.5,31
212,2,Asian,Cantonese,70,64.5
249,2,African-American,NA,63,57
218,3,Asian,Vietnamese,21.5,18
244,3,African-American,NA,69,49.5
262,2,African-American,Somali,26,17
249,1,White,NA,62.5,90.5
212,3,Hispanic,Spanish,NA,65.5
117,6,African-American,Somali,21,7
218,3,Asian,Vietnamese,60,37
117,8,Asian,Mandarin,15.5,76
256,1,African-American,Dinka,47.5,39
226,3,Asian,Vietnamese,14.5,12.5
272,1,Hispanic,Spanish,23,45
226,3,African-American,Somali,77.5,75
288,3,Asian,Vietnamese,59.5,81
244,3,Hispanic,NA,7,20.5
272,4,Asian,Japanese,76.5,77.5
233,2,Asian,Vietnamese,85.5,99
226,2,African-American,Amharic,76.5,94.5
272,1,White,Spanish,20,27
244,4,African-American,NA,61.5,51.5
935,6,African-American,NA,NA,NA
117,7,Asian,Japanese,69.5,70
935,3,African-American,NA,37,47.5
244,5,Asian,Ilokano,14,27
226,2,African-American,Somali,16.5,18
730,2,African-American,NA,NA,NA
245,1,White,NA,46.5,49.5
249,3,African-American,NA,35,21.5
117,6,Asian,Cantonese,2.5,73
288,3,African-American,Amharic,26,49
218,1,African-American,Somali,43,40
256,4,Asian,Toishanese,76.5,84
226,2,African-American,Somali,NA,NA
226,0,Hispanic,Spanish,59,47
226,0,Hispanic,Spanish,6,2
226,5,Asian,Toishanese,44.5,42.5
117,6,African-American,Amharic,25.5,46
244,2,African-American,Amharic,68.5,92.5
226,2,Hispanic,Spanish,25,27.5
244,2,Hispanic,Spanish,25.5,59
226,1,African-American,Somali,64,65.5
226,1,African-American,Somali,95.5,99
218,3,African-American,Somali,6.5,3.5
117,8,Asian,Toishanese,58,94.5
935,2,Asian,Cantonese,54.5,49
226,1,African-American,Tigrinya (Tigrigna),56,80
226,1,Hispanic,Spanish,NA,NA
244,4,African-American,Oromo (Ethiopia),62.5,69
935,0,Asian,Toishanese,2.5,9
935,2,Asian,Toishanese,57.5,55
226,2,African-American,Somali,67.5,56
935,2,Asian,Cantonese,51,61.5
212,3,African-American,Somali,12.5,6
269,5,African-American,Tigrinya (Tigrigna),NA,17
226,4,Asian,Vietnamese,11,37
935,3,Asian,Vietnamese,38,40
276,3,I,English,79.5,88
226,3,Asian,NA,32,31
244,4,African-American,Somali,3,1
226,3,African-American,Somali,76.5,61.5
945,1,African-American,NA,NA,NA
249,5,White,NA,NA,NA
244,3,African-American,NA,68,23.5
251,4,African-American,English,8,51
212,4,African-American,Somali,79.5,76
117,7,Asian,Vietnamese,59.5,51.5
226,4,African-American,NA,15,8.5
244,2,M,NA,83,96.5
226,3,Hispanic,NA,51.5,54
212,2,African-American,Somali,39,32
249,7,White,NA,NA,NA
272,0,African-American,NA,24.5,34
249,3,African-American,NA,19.5,30
288,2,African-American,Somali,77,60
226,4,African-American,NA,78.5,64.5
248,1,African-American,NA,18.5,27
117,6,African-American,Somali,27,4.5
226,1,African-American,NA,71,68.5
245,2,African-American,NA,NA,NA
272,4,White,NA,76,87.5
226,3,Asian,Vietnamese,92.5,70
248,3,African-American,NA,10.5,53.5
117,6,African-American,Somali,8.5,6
226,3,African-American,NA,18,20.5
226,2,African-American,NA,27.5,29.5
226,2,Asian,Vietnamese,88,99
226,2,African-American,Somali,87.5,93.5
226,1,African-American,Somali,57.5,77
226,2,African-American,NA,73,68.5
248,3,Asian,Mandarin,85.5,99
244,2,African-American,Somali,26.5,23
212,2,Asian,Cantonese,28,46
226,4,African-American,Somali,8,8.5
244,2,African-American,NA,64,73
244,3,Asian,Tagalog,42,34
226,5,Asian,Vietnamese,90.5,96.5
935,8,African-American,NA,58,76.5
245,5,Asian,NA,1,1
117,8,African-American,NA,NA,48.5
130,6,African-American,NA,23,32.5
117,6,Hispanic,Spanish,45,52
117,7,African-American,Tigrinya (Tigrigna),NA,NA
117,7,African-American,Tigrinya (Tigrigna),NA,NA
117,6,African-American,NA,64,63.5
226,4,African-American,Oromo (Ethiopia),42,51
226,5,White,NA,44,43.5
249,8,African-American,English,76.5,38
117,8,Asian,Vietnamese,86.5,65
117,7,Asian,Toishanese,50.5,75
226,4,White,NA,68,45.5
117,8,Hispanic,Spanish,44,56.5
226,4,Asian,Vietnamese,29,48.5
272,3,Hispanic,Spanish,34.5,14.5
212,4,White,NA,33.5,37
115,8,Asian,NA,48,27.5
226,5,Asian,Vietnamese,66.5,80.5
117,8,Hispanic,NA,96,58.5
205,5,Asian,Cantonese,66.5,82
288,4,White,NA,98.5,96
117,8,Asian,NA,64,35
130,8,Asian,NA,3,NA
117,7,African-American,Somali,54,41
244,5,African-American,NA,67,31.5
272,5,Asian,Punjabi,7.5,34.5
935,7,White,NA,16,48
226,4,African-American,Somali,34,14.5
233,5,African-American,NA,76,60
226,3,Hispanic,Spanish,1,1
117,8,Asian,Burmese,35,59
117,8,White,NA,54.5,22.5
117,7,Asian,Toishanese,44.5,73
226,5,Asian,Vietnamese,39.5,21.5
117,7,African-American,Somali,28.5,7
226,3,Asian,Vietnamese,1,1
244,4,African-American,Somali,64,22
117,7,Asian,Vietnamese,67,47
117,8,Asian,Cantonese,41.5,84.5
117,7,Asian,Cantonese,54.5,72
117,6,Hispanic,Spanish,7,1.5
275,5,Asian,Vietnamese,NA,59.5
212,5,Hispanic,Spanish,64,32
117,6,Hispanic,Spanish,37,39.5
117,6,Asian,Burmese,15,59
244,5,African-American,NA,70,74
117,7,African-American,NA,71.5,72
117,6,Hispanic,NA,90,40.5
268,5,Asian,Vietnamese,5,5
226,4,Asian,Vietnamese,30.5,34
117,8,Hispanic,Spanish,8.5,4
117,8,Asian,Cantonese,92,90
117,7,Asian,Tagalog,63.5,49.5
117,8,White,NA,76,45.5
117,6,Hispanic,Spanish,44.5,41
117,6,African-American,Somali,26,10
291,5,African-American,NA,4.5,5.5
244,5,African-American,Somali,48.5,37
117,6,Hispanic,Spanish,28,25.5
244,4,African-American,NA,30.5,10
118,6,African-American,NA,7.5,1.5
226,4,African-American,NA,40.5,53
117,6,I,English,49,40.5
117,8,African-American,NA,NA,NA
277,4,White,NA,1,1
244,2,African-American,NA,33,38
117,8,White,NA,94.5,87
272,5,Hispanic,Spanish,48.5,20
117,6,White,English,81.5,45.5
226,2,Asian,Toishanese,NA,NA
118,6,African-American,NA,61,43
256,4,Hispanic,Spanish,46,71
205,5,I,English,22.5,11.5
252,4,Asian,Cantonese,86.5,98.5
117,7,Asian,Cantonese,92.5,98
205,4,M,NA,98.5,89.5
117,7,Hispanic,Spanish,4.5,1
272,5,Hispanic,Spanish,22,17
117,8,Hispanic,Spanish,14.5,9.5
117,8,African-American,NA,45.5,75
226,5,M,Vietnamese,90.5,94
117,8,African-American,NA,95.5,91
117,7,Hispanic,Spanish,60,47
117,7,Asian,Cantonese,77,86.5
226,4,African-American,Somali,25,56.5
935,6,African-American,NA,NA,NA
117,7,African-American,Amharic,68,67
935,5,Hispanic,Spanish,7,15.5
117,8,White,NA,86,86.5
226,5,African-American,Somali,72.5,74.5
117,8,Asian,NA,84.5,90.5
291,7,African-American,NA,NA,NA
117,7,Hispanic,Tagalog,82.5,68.5
117,8,Asian,Vietnamese,31,70.5
249,8,African-American,NA,NA,NA
117,6,Hispanic,Spanish,NA,NA
226,4,African-American,NA,61,81.5
233,5,African-American,NA,88.5,82
117,7,African-American,Tigrinya (Tigrigna),18,9
117,6,African-American,NA,31,31.5
272,4,Asian,Vietnamese,69.5,77
212,5,African-American,NA,23.5,23
117,7,African-American,Oromo (Ethiopia),53,49.5
244,5,African-American,NA,47.5,20
205,4,Asian,Chiu Chow,10.5,44
245,5,African-American,NA,NA,NA
117,8,Hispanic,Spanish,16.5,31.5
272,4,Hispanic,Spanish,27.5,34
117,8,Hispanic,Spanish,43.5,36.5
130,7,African-American,NA,34.5,24.5
110,7,African-American,Somali,57,34.5
117,6,African-American,NA,11,35
226,4,Asian,Vietnamese,68.5,62
226,5,White,NA,78,78.5
117,8,African-American,Somali,30,4
117,7,African-American,NA,44.5,49
117,6,African-American,Somali,70,44.5
117,8,White,NA,68.5,31.5
117,8,Asian,Vietnamese,NA,NA
117,7,African-American,Somali,NA,NA
272,3,Hispanic,Spanish,23.5,51
226,5,African-American,Somali,6,2
949,6,White,NA,5,15
118,7,Hispanic,Spanish,NA,15
117,8,Hispanic,Spanish,20.5,23
107,7,Hispanic,NA,28,19.5
272,4,Asian,Mandarin,88.5,94
117,6,African-American,NA,49,47
245,1,African-American,NA,NA,NA
244,5,African-American,NA,5.5,19
117,6,African-American,NA,1,2
117,7,M,NA,45,34.5
117,8,African-American,Somali,33.5,12
935,7,African-American,NA,28.5,13.5
226,5,White,NA,58,54
212,5,African-American,Oromo (Ethiopia),21,13.5
272,3,African-American,Somali,NA,NA
117,7,African-American,NA,78,58.5
212,5,African-American,Somali,7,3
212,5,Hispanic,Spanish,10,8.5
226,5,African-American,NA,65,57
930,7,African-American,Somali,35,63
117,8,Asian,Toishanese,50.5,79.5
212,4,White,NA,NA,NA
117,7,African-American,Oromo (Ethiopia),14,26
117,6,Asian,Vietnamese,90,97
226,3,M,NA,15.5,NA
117,7,Hispanic,NA,68,48
117,6,Asian,Cantonese,37,80
249,4,Asian,NA,21.5,5
255,5,Asian,NA,77.5,96
117,7,African-American,NA,71.5,40.5
