SchID,Grade,HomeLanguage,Ethnicity,ReadingPercentTotal,MathPercentTotal
272,3,NA,White,71,84
201,2,Mandingo,African-American,NA,NA
226,2,Vietnamese,Asian,79,83.5
248,2,NA,African-American,47,55.5
212,5,Somali,African-American,4.5,7
226,0,Spanish,Hispanic,NA,NA
212,1,Spanish,Hispanic,16,32
249,2,NA,African-American,18,14
226,1,NA,African-American,67,29.5
226,1,Vietnamese,Asian,97,95
226,1,Somali,African-American,81,71
226,0,Somali,African-American,48,23
226,1,NA,African-American,71.5,55.5
226,1,Vietnamese,Asian,64,54
117,6,Spanish,Hispanic,NA,8
248,2,Mandarin,Asian,89.5,99
244,1,Somali,African-American,14,12.5
226,1,Cantonese,Asian,40.5,62
226,3,Somali,African-American,1,1
244,1,NA,African-American,44.5,40.5
244,2,Tagalog,Asian,22,14.5
226,4,Vietnamese,Asian,88,95
292,8,Amharic,African-American,24.5,12.5
935,7,NA,African-American,35.5,61.5
245,4,NA,Asian,NA,NA
117,7,NA,African-American,22,8.5
226,5,Spanish,Hispanic,38.5,68
117,8,Amharic,African-American,20,65.5
117,6,Tigrinya (Tigrigna),African-American,26.5,10
117,8,NA,African-American,33,15
226,5,NA,African-American,43,70
249,6,NA,African-American,NA,NA
226,3,Oromo (Ethiopia),African-American,22.5,58.5
226,4,NA,White,58.5,56.5
249,7,English,African-American,86,63.5
117,7,Vietnamese,Asian,94,74
110,8,Vietnamese,Asian,49,84
117,6,Toishanese,Asian,41,81
117,8,Cantonese,Asian,31,75
117,8,Spanish,Hispanic,57.5,81
226,3,NA,White,74.5,46.5
117,7,Spanish,Hispanic,46,39
226,3,Vietnamese,Asian,19,33
272,2,Spanish,Hispanic,14,22
212,3,NA,White,60,45
949,7,NA,Asian,39,17.5
117,8,Cantonese,Asian,NA,NA
226,4,Vietnamese,Asian,45.5,86.5
117,7,NA,Hispanic,98,73
117,8,NA,Hispanic,85,67
205,4,Cantonese,Asian,58.5,73.5
935,8,Spanish,Hispanic,28.5,32
288,3,NA,White,99,97.5
226,4,Oromo (Ethiopia),African-American,22.5,57
244,4,Somali,African-American,53,39.5
117,7,NA,Asian,NA,2
256,5,NA,African-American,84,76.5
226,2,Spanish,Hispanic,24,24
117,6,Somali,African-American,60,27
117,8,Vietnamese,Asian,5,3
249,8,NA,African-American,NA,NA
117,8,NA,M,81.5,82
117,8,NA,Hispanic,34,21
244,4,NA,African-American,62.5,54
272,4,Punjabi,Asian,6.5,25.5
249,6,NA,White,8,22
226,3,Somali,African-American,35.5,7
118,8,Oromo (Ethiopia),African-American,76.5,82.5
233,4,NA,African-American,61,61
248,5,NA,African-American,59.5,55.5
226,2,Spanish,Hispanic,NA,NA
117,8,NA,African-American,62.5,45
117,7,Burmese,Asian,46,48
117,8,Tigrinya (Tigrigna),African-American,18,53
117,7,NA,White,47.5,8
117,6,Toishanese,Asian,20,51
226,4,Vietnamese,Asian,50,22
117,8,NA,Asian,83.5,87
117,8,Amharic,African-American,82.5,78
117,6,Somali,African-American,1,7
226,2,Vietnamese,Asian,NA,NA
226,3,Somali,African-American,38,28.5
117,6,Vietnamese,Asian,51.5,55.5
117,7,Cantonese,Asian,20,70.5
117,6,Cantonese,Asian,70,64.5
226,5,Spanish,Hispanic,6.5,2.5
275,4,Vietnamese,Asian,24.5,44
110,8,NA,African-American,37.5,49.5
212,4,Spanish,Hispanic,64,23
212,5,Spanish,Hispanic,8.5,18.5
272,5,Burmese,Asian,4.5,51.5
244,4,NA,African-American,12.5,66.5
117,6,NA,African-American,73,75
212,5,NA,Hispanic,86.5,32
268,4,Vietnamese,Asian,4,4.5
226,3,Vietnamese,Asian,32,32
117,7,Spanish,Hispanic,10,4
117,7,Cantonese,Asian,82.5,83
117,8,Tagalog,Hispanic,15,26
117,6,Tagalog,Asian,53,43
117,7,NA,White,97,82
272,5,Spanish,Hispanic,62.5,34
226,5,Somali,African-American,22,14
291,4,NA,African-American,3.5,9.5
117,8,Spanish,Hispanic,4.5,11
244,4,Somali,African-American,44.5,30.5
272,5,Spanish,Hispanic,14,19
244,3,NA,African-American,27,11
226,5,NA,African-American,7.5,2
117,8,NA,Asian,64,52.5
117,8,NA,M,87,89.5
205,5,NA,I,44.5,34
249,8,NA,African-American,55,5.5
117,8,Somali,African-American,NA,NA
117,7,NA,African-American,55.5,51.5
117,6,Somali,African-American,50,69
244,5,NA,African-American,11.5,13.5
277,3,NA,White,NA,NA
249,4,NA,Asian,46,61.5
117,7,NA,White,87.5,76
272,4,Spanish,Hispanic,57,24.5
272,3,Cantonese,Asian,NA,NA
226,5,Somali,African-American,73.5,29.5
117,8,Cantonese,Asian,76.5,95
244,5,English,White,88.5,64
272,1,Toishanese,Asian,1,1.5
249,5,NA,African-American,32,33
244,5,NA,African-American,62.5,31.5
205,4,English,I,15.5,19
244,5,NA,African-American,54.5,81
252,3,Cantonese,Asian,83.5,91.5
117,6,Cantonese,Asian,86,95.5
205,3,NA,M,97,67.5
117,6,Spanish,Hispanic,2,1
935,8,Mandarin,Asian,61,72
272,4,Spanish,Hispanic,28,11
974,5,NA,M,68,63.5
117,7,Spanish,Hispanic,35,18.5
117,7,NA,African-American,64,66.5
226,4,Vietnamese,M,87.5,88.5
117,7,NA,African-American,91.5,95.5
117,6,Spanish,Hispanic,NA,41
117,6,Cantonese,Asian,62.5,92.5
226,3,Somali,African-American,21,46
212,5,NA,African-American,NA,NA
117,6,Amharic,African-American,45.5,55.5
935,4,Spanish,Hispanic,2.5,17.5
117,7,NA,White,94,94
245,4,NA,African-American,NA,NA
226,4,Somali,African-American,63.5,69
117,7,NA,Asian,67.5,90.5
212,5,Spanish,Hispanic,13.5,35.5
117,6,NA,African-American,64.5,71.5
117,6,Tagalog,Hispanic,83,84
117,7,Vietnamese,Asian,57,64
117,7,NA,African-American,34.5,5.5
