,Reference Area,Year,Observation Value,Continent
936,Senegal,2008,17.152260000000002,Africa
730,Morocco,2006,17.196260000000002,Africa
156,Burundi,2009,17.27595,Africa
1077,Tunisia,2008,17.2892,Africa
411,Ghana,2001,17.315720000000002,Africa
737,Morocco,1999,17.36086,Africa
932,Sao Tome and Principe,2012,17.38628,Africa
977,South Africa,2011,17.45926,Africa
742,Namibia,2010,17.60071,Africa
184,Cape Verde,2002,17.642789999999998,Africa
975,South Africa,2014,17.68114,Africa
726,Morocco,2010,17.991670000000003,Africa
380,Gambia,2012,17.99993,Africa
725,Morocco,2011,18.049770000000002,Africa
736,Morocco,2000,18.05656,Africa
126,Botswana,2005,18.095679999999998,Africa
935,Senegal,2009,18.34218,Africa
1080,Tunisia,2003,18.37174,Africa
744,Namibia,2006,18.43151,Africa
746,Namibia,2003,18.67751,Africa
1078,Tunisia,2005,18.726860000000002,Africa
794,Niger,2012,18.80699,Africa
182,Cape Verde,2006,18.810679999999998,Africa
738,Morocco,1998,18.81083,Africa
976,South Africa,2012,18.83745,Africa
381,Gambia,2011,18.89311,Africa
724,Morocco,2012,18.99749,Africa
1079,Tunisia,2004,19.15468,Africa
723,Morocco,2013,19.682370000000002,Africa
183,Cape Verde,2005,19.71108,Africa
747,Namibia,2002,19.73048,Africa
750,Namibia,1999,19.761329999999997,Africa
748,Namibia,2001,19.80586,Africa
749,Namibia,2000,19.91573,Africa
382,Gambia,2010,19.924789999999998,Africa
731,Morocco,2005,20.160529999999998,Africa
795,Niger,2011,20.49726,Africa
1010,Swaziland,2011,20.7904,Africa
568,Kenya,2001,20.90685,Africa
796,Niger,2010,20.95789,Africa
293,Djibouti,2006,21.318939999999998,Africa
409,Ghana,2005,21.3749,Africa
569,Kenya,2000,21.37795,Africa
793,Niger,2013,21.5198,Africa
565,Kenya,2006,22.37319,Africa
292,Djibouti,2007,22.528129999999997,Africa
595,Lesotho,2008,22.79359,Africa
291,Djibouti,2008,22.934279999999998,Africa
567,Kenya,2003,23.21593,Africa
410,Ghana,2004,23.26904,Africa
404,Ghana,2011,23.8099,Africa
566,Kenya,2004,24.155920000000002,Africa
801,Niger,2003,24.92931,Africa
596,Lesotho,2006,25.35867,Africa
598,Lesotho,2001,25.915879999999998,Africa
798,Niger,2008,26.94625,Africa
227,Comoros,2008,27.8088,Africa
800,Niger,2006,28.143279999999997,Africa
599,Lesotho,2000,28.174840000000003,Africa
797,Niger,2009,28.260409999999997,Africa
597,Lesotho,2005,28.50269,Africa
792,Niger,2014,28.792270000000002,Africa
799,Niger,2007,32.39912,Africa
600,Lesotho,1999,34.657059999999994,Africa
294,Djibouti,1998,43.001540000000006,Africa
564,Kazakhstan,2013,0.31296,Asia
563,Kazakhstan,2014,0.38137,Asia
1006,Sri Lanka,2012,4.77955,Asia
168,Cambodia,1998,5.07554,Asia
165,Cambodia,2002,5.14623,Asia
167,Cambodia,2000,5.6772599999999995,Asia
1007,Sri Lanka,2011,5.8097900000000005,Asia
1008,Sri Lanka,2010,5.909619999999999,Asia
1095,United Arab Emirates,1998,5.9149,Asia
209,China,1998,5.9240900000000005,Asia
166,Cambodia,2001,6.5773399999999995,Asia
164,Cambodia,2010,6.88351,Asia
471,India,2010,7.19477,Asia
472,India,2009,7.27265,Asia
109,Bhutan,2008,7.291239999999999,Asia
1009,Sri Lanka,2009,7.3484300000000005,Asia
57,Bangladesh,2009,7.7608,Asia
107,Bhutan,2010,7.7978,Asia
60,Bangladesh,2006,7.80606,Asia
822,Pakistan,2013,8.043989999999999,Asia
821,Pakistan,2014,8.083960000000001,Asia
111,Bhutan,2004,8.15145,Asia
105,Bhutan,2013,8.18258,Asia
858,Philippines,2005,8.32388,Asia
58,Bangladesh,2008,8.517560000000001,Asia
758,Nepal,1999,8.6364,Asia
470,India,2011,8.65108,Asia
575,Kuwait,2006,8.6651,Asia
857,Philippines,2007,8.68041,Asia
859,Philippines,2004,8.98081,Asia
108,Bhutan,2009,8.99587,Asia
856,Philippines,2008,9.00382,Asia
59,Bangladesh,2007,9.04546,Asia
469,India,2012,9.0891,Asia
954,Singapore,2008,9.51726,Asia
106,Bhutan,2011,9.52374,Asia
887,Qatar,2009,9.66652,Asia
757,Nepal,2000,9.82682,Asia
480,Indonesia,2010,9.9147,Asia
640,Malaysia,2006,10.17037,Asia
576,Kuwait,2005,10.17586,Asia
110,Bhutan,2005,10.28841,Asia
819,Oman,1999,10.31867,Asia
574,Kuwait,2008,10.44149,Asia
953,Singapore,2009,10.58553,Asia
1093,United Arab Emirates,2012,10.729389999999999,Asia
861,Philippines,2002,10.75915,Asia
818,Oman,2001,10.77662,Asia
754,Nepal,2003,10.78983,Asia
479,Indonesia,2011,10.84187,Asia
639,Malaysia,2007,10.85495,Asia
952,Singapore,2010,10.96166,Asia
473,India,2003,10.985330000000001,Asia
820,Oman,1998,11.1286,Asia
482,Indonesia,2008,11.3014,Asia
862,Philippines,2001,11.310830000000001,Asia
478,Indonesia,2012,11.41123,Asia
860,Philippines,2003,11.41175,Asia
483,Indonesia,2007,11.41725,Asia
755,Nepal,2002,11.45984,Asia
722,Mongolia,2004,11.48283,Asia
1094,United Arab Emirates,2011,11.60855,Asia
476,India,1999,11.83843,Asia
477,Indonesia,2013,11.86247,Asia
649,Maldives,2004,11.89835,Asia
863,Philippines,2000,12.02267,Asia
815,Oman,2009,12.16837,Asia
553,Jordan,2011,12.24048,Asia
554,Jordan,2008,12.32949,Asia
719,Mongolia,2010,12.37069,Asia
645,Malaysia,2000,12.55696,Asia
555,Jordan,2007,12.56809,Asia
650,Maldives,2003,12.6301,Asia
636,Malaysia,2010,12.788089999999999,Asia
1049,Thailand,1998,12.79615,Asia
556,Jordan,2006,12.84265,Asia
638,Malaysia,2008,13.08947,Asia
756,Nepal,2001,13.1371,Asia
562,Jordan,1998,13.310629999999998,Asia
474,India,2001,13.3116,Asia
481,Indonesia,2009,13.42389,Asia
721,Mongolia,2007,13.589360000000001,Asia
561,Jordan,1999,13.655420000000001,Asia
104,Bhutan,2014,13.770629999999999,Asia
647,Maldives,2006,13.81076,Asia
577,Kuwait,2004,13.927489999999999,Asia
753,Nepal,2008,13.939779999999999,Asia
641,Malaysia,2004,14.06436,Asia
637,Malaysia,2009,14.22775,Asia
816,Oman,2005,14.363970000000002,Asia
560,Jordan,2002,14.37036,Asia
1046,Thailand,2004,14.379129999999998,Asia
475,India,2000,14.401710000000001,Asia
648,Maldives,2005,14.50637,Asia
814,Oman,2011,14.535870000000001,Asia
558,Jordan,2004,14.54817,Asia
817,Oman,2002,14.75874,Asia
720,Mongolia,2009,14.90143,Asia
751,Nepal,2014,15.081010000000001,Asia
635,Malaysia,2011,15.430470000000001,Asia
557,Jordan,2005,15.43666,Asia
718,Mongolia,2011,15.64365,Asia
559,Jordan,2003,15.77471,Asia
646,Maldives,2008,16.09451,Asia
752,Nepal,2009,16.120620000000002,Asia
578,Kuwait,2003,16.1747,Asia
579,Kuwait,2002,16.3827,Asia
644,Malaysia,2001,16.41224,Asia
580,Kuwait,2001,16.67054,Asia
1047,Thailand,2001,16.84401,Asia
573,Kuwait,2011,17.426370000000002,Asia
634,Malaysia,2013,17.45373,Asia
1048,Thailand,2000,17.81924,Asia
642,Malaysia,2003,17.88944,Asia
933,Saudi Arabia,2007,18.17398,Asia
1125,Yemen,2011,18.61486,Asia
643,Malaysia,2002,19.37733,Asia
1043,Thailand,2010,19.408260000000002,Asia
552,Japan,1998,19.820510000000002,Asia
503,Israel,2007,20.01367,Asia
501,Israel,2009,20.05987,Asia
502,Israel,2008,20.11081,Asia
1045,Thailand,2008,20.13626,Asia
510,Israel,2000,20.28154,Asia
551,Japan,1999,20.77577,Asia
504,Israel,2006,20.82167,Asia
505,Israel,2005,20.9262,Asia
506,Israel,2004,21.128320000000002,Asia
511,Israel,1999,21.29832,Asia
550,Japan,2000,21.32105,Asia
549,Japan,2001,21.56811,Asia
500,Israel,2010,21.6194,Asia
542,Japan,2008,21.627029999999998,Asia
543,Japan,2007,21.74553,Asia
544,Japan,2006,21.84682,Asia
507,Israel,2003,21.9739,Asia
545,Japan,2005,21.976229999999997,Asia
509,Israel,2001,22.03258,Asia
548,Japan,2002,22.13843,Asia
546,Japan,2004,22.338260000000002,Asia
547,Japan,2003,22.584529999999997,Asia
508,Israel,2002,22.673270000000002,Asia
499,Israel,2011,22.693479999999997,Asia
540,Japan,2011,23.481479999999998,Asia
1044,Thailand,2009,23.49026,Asia
539,Japan,2012,23.79371,Asia
541,Japan,2010,23.810389999999998,Asia
538,Japan,2013,23.91826,Asia
1041,Thailand,2012,29.4466,Asia
1042,Thailand,2011,34.32412,Asia
715,Monaco,2000,3.1594900000000004,Europe
716,Monaco,1999,3.23924,Europe
