,Reference Area,Year,Observation Value,Continent
1726,Djibouti,2008,6,Africa
1727,Djibouti,2007,6,Africa
1728,Djibouti,2006,6,Africa
1729,Djibouti,2005,6,Africa
1730,Djibouti,2004,6,Africa
1731,Djibouti,2003,6,Africa
1732,Djibouti,2002,6,Africa
1733,Djibouti,2001,6,Africa
1734,Djibouti,2000,6,Africa
1735,Djibouti,1999,6,Africa
1736,Djibouti,1998,6,Africa
1737,Djibouti,1997,6,Africa
1738,Djibouti,1996,6,Africa
1739,Djibouti,1995,6,Africa
1740,Djibouti,1994,6,Africa
1741,Djibouti,1993,6,Africa
1742,Djibouti,1992,6,Africa
1743,Djibouti,1991,6,Africa
1744,Djibouti,1990,6,Africa
1745,Djibouti,1989,6,Africa
1746,Djibouti,1988,6,Africa
1747,Djibouti,1987,6,Africa
1748,Djibouti,1986,6,Africa
1749,Djibouti,1985,6,Africa
1750,Djibouti,1984,6,Africa
1751,Djibouti,1983,6,Africa
1752,Djibouti,1982,6,Africa
1753,Djibouti,1981,6,Africa
1754,Djibouti,1980,6,Africa
1755,Djibouti,1979,6,Africa
1756,Djibouti,1978,6,Africa
1757,Djibouti,1977,6,Africa
1758,Djibouti,1976,6,Africa
1759,Djibouti,1975,6,Africa
1880,Egypt,2014,6,Africa
1881,Egypt,2013,6,Africa
1882,Egypt,2012,6,Africa
1883,Egypt,2011,6,Africa
1884,Egypt,2010,6,Africa
1885,Egypt,2009,6,Africa
1886,Egypt,2008,6,Africa
1887,Egypt,2007,6,Africa
1888,Egypt,2006,6,Africa
1889,Egypt,2005,6,Africa
1890,Egypt,2004,6,Africa
1891,Egypt,2003,6,Africa
1892,Egypt,2002,6,Africa
1893,Egypt,2001,6,Africa
1894,Egypt,2000,6,Africa
1895,Egypt,1999,6,Africa
1896,Egypt,1998,6,Africa
1897,Egypt,1997,6,Africa
1898,Egypt,1996,6,Africa
1899,Egypt,1995,6,Africa
1900,Egypt,1994,6,Africa
1901,Egypt,1993,6,Africa
1902,Egypt,1992,6,Africa
1903,Egypt,1991,6,Africa
1904,Egypt,1990,6,Africa
1905,Egypt,1989,6,Africa
1906,Egypt,1988,6,Africa
1907,Egypt,1987,6,Africa
1908,Egypt,1986,6,Africa
1909,Egypt,1985,6,Africa
1910,Egypt,1984,6,Africa
1911,Egypt,1983,6,Africa
1912,Egypt,1982,6,Africa
1913,Egypt,1981,6,Africa
1914,Egypt,1980,6,Africa
1915,Egypt,1979,6,Africa
1916,Egypt,1978,6,Africa
1917,Egypt,1977,6,Africa
1918,Egypt,1976,6,Africa
1919,Egypt,1975,6,Africa
1976,Equatorial Guinea,1998,6,Africa
1977,Equatorial Guinea,1997,6,Africa
1978,Equatorial Guinea,1996,6,Africa
1979,Equatorial Guinea,1995,6,Africa
1980,Equatorial Guinea,1994,6,Africa
1981,Equatorial Guinea,1993,6,Africa
1982,Equatorial Guinea,1992,6,Africa
1983,Equatorial Guinea,1991,6,Africa
1984,Equatorial Guinea,1990,6,Africa
1985,Equatorial Guinea,1989,6,Africa
1986,Equatorial Guinea,1988,6,Africa
1987,Equatorial Guinea,1987,6,Africa
1988,Equatorial Guinea,1986,6,Africa
1989,Equatorial Guinea,1985,6,Africa
1990,Equatorial Guinea,1984,6,Africa
1991,Equatorial Guinea,1983,6,Africa
1992,Equatorial Guinea,1982,6,Africa
1993,Equatorial Guinea,1981,6,Africa
1994,Equatorial Guinea,1980,6,Africa
1995,Equatorial Guinea,1979,6,Africa
1996,Equatorial Guinea,1978,6,Africa
1997,Equatorial Guinea,1977,6,Africa
1998,Equatorial Guinea,1976,6,Africa
1999,Equatorial Guinea,1975,6,Africa
2000,Eritrea,2014,6,Africa
2001,Eritrea,2013,6,Africa
2240,Gabon,2014,6,Africa
2241,Gabon,2013,6,Africa
2242,Gabon,2012,6,Africa
2243,Gabon,2011,6,Africa
2244,Gabon,2010,6,Africa
