"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Azerbaijan","Rural Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1913133","2"
"Azerbaijan","Rural Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1918300",""
"Azerbaijan","Rural Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1888600",""
"Azerbaijan","Rural Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1857800",""
"Azerbaijan","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1835100",""
"Azerbaijan","Rural Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1801100",""
"Azerbaijan","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1759500",""
"Azerbaijan","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1555882","2"
"Bahamas","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","20584",""
"Bahamas","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","21417",""
"Bahrain","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","24910",""
"Bahrain","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","33791",""
"Bangladesh","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","48557582",""
"Bangladesh","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","43886407",""
"Bangladesh","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","42894411","4"
"Bangladesh","Rural Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","42103500","4"
"Bangladesh","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","50887064",""
"Bangladesh","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","45113704",""
"Bangladesh","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","44790811","4"
"Bangladesh","Rural Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","44028561","4"
"Belarus","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1474050",""
"Belarus","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1506448",""
"Belarus","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1537856",""
"Belarus","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1645296","2"
"Belarus","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1634210",""
"Belarus","Rural Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1642208",""
"Belarus","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1677289",""
"Belarus","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1709011",""
"Belarus","Rural Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1735172",""
"Belarus","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1758156",""
"Belarus","Rural Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1752600",""
"Belarus","Rural Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1761900",""
"Belarus","Rural Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1898176","2"
"Belarus","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1299833",""
"Belarus","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1326428",""
"Belarus","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1352189",""
"Belarus","Rural Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1438425","2"
"Belarus","Rural Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1429372",""
"Belarus","Rural Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1408291",""
"Belarus","Rural Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1436446",""
"Belarus","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1460529",""
"Belarus","Rural Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1479452",""
"Belarus","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1501378",""
"Belarus","Rural Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1554200",""
"Belarus","Rural Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1562500",""
"Belarus","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1612253","2"
"Belize","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","68400","4"
"Belize","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","66800","4"
"Belize","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","65200","4"
"Belize","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","63750","4"
"Belize","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","60950",""
"Belize","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","62250","4"
"Belize","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","60560","4"
"Belize","Rural Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","56985","4"
"Belize","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","54875","4"
"Belize","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","51800","4"
"Belize","Rural Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","53375","4"
"Belize","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","52025","4"
"Belize","Rural Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","51521","4"
"Belize","Rural Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","50779","4"
"Belize","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","47860",""
"Belize","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","49743","4"
"Belize","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","48188","4"
"Belize","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","73200","4"
"Belize","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","71300","4"
